Disciplina,Horário,Local,Professor(a)
Introd. ao Proc. Digital de Imagens,24M45,Auditório - T03,Leonardo Vidal Batista
Lab. de Introdução a Programação,35M45,CI 106,Vitor Meneghetti Ugulino de Araujo
Laboratório de Linguagem de Prog. I,24T23,T 07,Derzu Omaia
Linguagem de Programação I,35M45,CI 102,Derzu Omaia
Linguagem de Programação II,24T23,CI 104,Gledson Elias da Silveira
Linguagem de Programação II,24M45,T 07,Carlos Eduardo Coelho Freire Batista
Linguagens Formais e Computabilidade,35M45,CI 304,Bruno Petrato Bruck
Lógica Aplicada à Computação,24M45,CI 106,Tatiana Araujo Simoes
Matemática Discreta,24M23,CI 101,Kely Diana Villacorta Villacorta
Matemática Discreta,35T23,CI 101,Tatiana Araujo e Gustavo Charles
Materiais para Micro e Nano Tec.,6M2345,Auditório - T03,Ruy Alberto Pisani Altafim
Mecânica para Eng. da Computação,24M45,LIEPE 04,Hugo Leonardo Davi de S. Cavalcante
Metodologia do Trabalho Científico,6M345,CI 103,Elizabet Maria Spohr de Medeiros
Metodologia do Trabalho Científico,4T45,CI T06,Valdecir Becker
Metod. do Trab. Cient. para CC,6M23,CI 304,Gustavo Henrique Matos Bezerra Motta
Métodos de Projeto de Software,5M23,T 07,Raoni Kulesza
Métodos de Projeto de Software,3M23,LIEPE 05-06,Raoni Kulesza
Métodos Matemáticos I,35M45,CI 308,Aparecido Jesuino de Souza
Métodos Numéricos I,24T23,CI 311,Ana Paula Pintado Wyse
Microcontroladores,35M45,LIEPE Lab Hard.,Mardson Freitas de Amorim
Mineração Estatística de Dados,35T23,CI 107,Sergio de Carvalho Bezerra
Modelos Probabilísticos para a Comp.,24M23,CI 306,Ronei Marcos de Moraes
Ordenação e Recuperação de Dados,35T23,CI 307,A Definir
Otimização Combinatória (Pós),6T3456,PPGICI 104,Anand Subramanian
Otimização Não-Linear,24T23,CI 102,Felipe Antonio Garcia Moreno
Paradigmas de Aprendizagem de Máq.,35T23,T 07,Thais Gaudencio e Daniela Coelho
Paradigmas de Linguagens de Prog.,35M45,LIEPE 04,Gustavo Henrique Matos Bezerra Motta
Pesquisa Aplicada à Ciência de Dados,6T123,T 07,Elizabet Maria Spohr de Medeiros
Pesquisa Aplicada a Computação,6T345,CI 105,Jose Antonio Gomes de Lima
Pesquisa Aplicada à Computação,6M45,CI 102,Natasha Correia Queiroz Lino
Pesquisa Operacional,24T23,CI T06,Teobaldo Leite Bulhões Junior
Processamento de Linguagem Natural,35M23,Auditório - T03,Yuri de Almeida Malheiros Barbosa
Programação Estruturada,35M45,LIEPE 05-06,Luciano Carlos e Gilberto Farias
Programação Funcional,24T23,CI 304,Gustavo Henrique Matos Bezerra Motta
Programação Orientada a Objetos,3M45,CI 105,Gabriel da Silva Belarmino
Programação Orientada a Objetos,5M45,CI 105,Carlos Eduardo Coelho Freire Batista
Programação Orientada a Objetos,3M45,LIEPE 07,Carlos Eduardo Coelho Freire Batista
Programação Orientada a Objetos,5M45,LIEPE 07,Gabriel da Silva Belarmino
Redes de Computadores (Pós),24T45,PPGICI 107,Iguatemi Eduardo da Fonseca
Redes de Computadores I,24T23,CI 105,Iguatemi Eduardo da Fonseca
Redes de Computadores I,35T23,CI 102,Ewerton Monteiro Salvador
Redes Sem Fio,35T45,CI 102,Ewerton Monteiro Salvador
Robótica,6M2345,CI 311,Tiago Pereira do Nascimento
Segurança Computacional,24M45,SB 01,Iguatemi Eduardo da Fonseca
Séries e Eq. Diferenciais Ordinárias,35M23,CI 101,Edson de Figueiredo Lima Junior
Séries Temporais,24M23,CI 107,Moises Dantas dos Santos
Sinais e Sistemas Dinâmicos,24M23,Auditório - T03,A Definir
Sistema de Informação e Decisão,24M45,CCSA 308,Pedro Jacome de Moura Junior
Sistemas Baseados em Conhecimento,6M2345,CI 101,Clauirton de Albuquerque Siebra
Sistemas de Informação nas Org.,35T45,LIEPE 04,Carlo Gabriel Porto Bellini
Sistemas Distribuídos,35M45,CI T06,Fernando Menezes Matos
Sistemas e Controle de Automação,35M45,CI 307,Augusto de Holanda Barreto M. Tavares
Sistemas Embarcados I,35T23,CI 304,Veronica Maria Lima Silva
